name,name_en
"アリエスグラディオ","Sword of Aries"
"ジューン・ブレイド","June Blade"
"エターナル・シンフォニー","Eternal Symphony"
"ウィッシング・ブーケ","Wishing Bouquet"
"プロミス・ハート","Promised Heart"
"キス・オブ・キューピッド","Kiss of Cupid"
"インジェクション・レイピア","Injection Rapier"
"レールウェイ・ソード","Railway Sword"
"エアプレーン・ダガー","Airplane Dagger"
"ウィズダム・スピア","Wisdom Spear"
"ポリス・ショット","Police Shot"
"デュ・クラブ・パフェ","Parfait Club"
"ハイドレンジアソードx2","Dual Hydrangea Sword"
"パラグアス・ブレイド","Paraguas Sword"
"雨乞使の長弓","Rain-making Long Bow"
"アンカーズソード","Anchor's Sword"
"ダークパームソード×デンファーレスライサー","Dark Palm Sword & Denfare Slicer"
"ビーチスティンガー","Beach Singer"
"ハイビスカスカッター","Hibiscus Cutter"
"シーホースセイバー","Sea Horse Saber"
"天河の流剣x2","Dual Galactic Lights"
"仙女の星剣","Fairy's Star"
"誓いの笹刀","Oathkeeper"
"妖刀・雅文の調べｘ雅文の奏で","Melodious Twins"
"麗刀・流れ柳","Willow Figure"
"霊刀・萩の露","Lespedeza Dewdrop"
"宝銃・咲くや朝霧","Summer Bloomer"
"祝槍・八重の繚乱","Zinnia Bouquet"
"因果の法剣+1","Sword of Causality"
"エンジェル・クレイモア+1","Angel Claymore +1"
"ジェミニグラディウム+1","Rapier of Gemini +1"
"フィッシャーズソード+1","Fisher's Sword +1"
"ワンス・アポン・ア・タイム+1","Glass Sword +1"
"リリー・マンゴーシュ","Lily Main Gauche"
"アイランド・スピア","Island Spear"
"マリン・ショット","Marin Shot"
"ビーチ・バスター","Beach Buster"
"サンフラワー・エッジ","Sunflower Edge"
"風車の神剣","Windcatcher"
"天神の嵐剣","Raijin"
"宝具の神槍","Divine Shiner"
"オーシャン・エスパーダ","Ocean Espada"
"インショアソード×オフショアソード","Inswore Sword x Offshore Sword"
"パイレーツ・ダガー","Pirate Dagger"
"ジョリーロジャー・サーベル","Jolly Roger Sabre"
"ハーバー・ライフル","Harbor Rifle"
"ヒロイックプロミス+1","Heroic Promise +1"
"カーレッジ+1","Courage +1"
"金木犀の剣+1","Fragant Olive Sword +1"
"ティータイムセイバー+1","Tea Time Saber +1"
"レオアスタム+1","Lance of Leo +1"
"エンライトメント×シャドウエリミネーター","Enlightment x Shadow Eliminator"
"ダズリングブリンク","Dazzling Blink"
"エラディケイト・セイバー","Eradicate Saber"
"グシスナウタル","Gusisnautar"
"永久氷塊の剣","Eternal Ice"
"永劫不朽の剣","Eternal Immortality"
"アトランティス・ソード","Atlantis Sword"
"鉄隕石の剣","Siderite Sword"
"カルンウェナン","Carnvennan"
"プラネタリーメイス","Planetary Mace"
"メイトウ・アカツキ","Akatsuki"
"グレート・ナンバー","Great Number"
"デモンズ・ブレード×バット・エスパーダ","Demon's Blade x Bat Espada"
"ウェアウルフ・ファング","Werewolf Fang"
"ナイトメア・ワンド","Nightmare Wand"
"パンプキン・ブレード","Pumpkin Blade"
"デビルスタッフ","Devil Stuff"
"マシーナリーソード","Machinery Sword"
"トリック・オア・バレット","Trick or Bullet"
"シャノワール","Chat Noir"
"ハイドレンジアソード+1x2","Dual Hydrangea Sword +1"
"ビクトリー・フルーレ","Victory Fleuret"
"チャンピオン・ダガー","Champion Dagger"
"グロリアス・ブレード","Glorious Blade"
"ウィナーズ・スピア","Winner's Spear"
"聖華の細剣","Holy Flower Rapier"
"神捧の麗槍","Sanctified Beauteous Spear"
"水煌の剣","Teal Blue Sword"
"朱漆の秘刀","Red Lacquer Sword"
"ゲッコウ・シンウチ","Tsukikage"
"ヘカート・ゲンナイオン","Magnificent Hecate"
"バーニング・ハート","Burning Heart"
"ロシアンルージュ×ジャッジメントノワール","Russian Rouge x Judgement Noir"
"ジャックポット・スパーダ","Jackpot Spada"
"デスティニー・ロッソ","Destiny Rosso"
"天河の流剣+1x2","Dual Galactic Lights +1"
"妖刀・雅文の調べｘ雅文の奏で +1","Melodious Twins +1"
"ジューン・ブレイド+1","June Blade +1"
"プロミス・ハート+1","Promised Heart +1"
"エレーター+1","Elater +1"
"パーフェクト・ラヴァー+1","Tulip Mace +1"
"若桜の重棍+1","Sakura Mace +1"
"プレゼント・フォー・ユー","Present for You"
"リース・オン・チムニー","Wreath on Chimney"
"レインディア・ホーン","Reindeer Horn"
"トゥウィンクル・イヴ","Twinkle Chistmas Eve"
"シュニーシュトゥルム×2","Dual Schneesturm"
"アイスツァプフェン","Eiszapfen"
"リトル・スター・エッジ","Little Star Edge"
"ミラクル・インパクト","Miracle Impact"
"プリエール・ドゥ・ノエル","Priere de Noel"
"ミステル・キッス","Mistletoe Kiss"
"エリュシデータ・ルージュ","Elucidator Rouge"
"インセイン・ルーラー","Inane Ruler"
"宝刀・菊舞踊","Fluttery Chrysanthemum"
"神刀・注連走","Sacred Boundary"
"和弓・破魔扇","Exorcism"
"秘棍・毬打","Polo"
"祝杖・飛蝶","Flying Butterfly"
"絶刀・鬼牙","Oni's Fang"
"閃刃・鎌鼬","Kamaitachi"
"舞刀・鷲爪","Eagle Claw"
"神剣・小狐","Little Fox"
"清杖・闇祓","Purification"
"破槍・退魔","Amulet"
"舞刀・神楽","Kagura"
"ラピエル・ドゥ・フルール","Lapiel de Fleur"
"エペ・リュバン","Epee Ruban"
"パティスリー・ダガー","Pastry Dagger"
"キャンディ・フラッパー","Candy Flapper"
"ドーブ・ロッド","Dove Rod"
"バルーン・ランス","Baloon Lance"
"シトリン・ダガー","Citrine Dagger"
"ラブケーキナイフ+1","Love Cake Knife +1"
"チョコレートグラインダー+1","Chocolate Grater +1"
"恋天使の熱弓+1","Cupid's Passion +1"
"フェイバリットレイピア+1","Brilliant Fleuret +1"
"SPBレイピア","SPB Rapier"
"SylphTypeA","Sylph Type-A"
"ピンク・カモフラージュLZ","Pink Camouflage LZ"
"シュトルムKZ","Sturm KZ"
"宝具の神槍+1","Divine Shiner +1"
"ジェミニグラディウム+2","Rapier of Gemini +2"
"金木犀の剣+2","Fragant Olive Sword +2"
"雨乞使の長弓+1","Rain-making Long Bow +1"
"エターナル・プロミス","Eternal Promise"
"ディープ・カーレッジ","Deep Courage"
"ソード・オブ・ノーチラス","Sword of Nautilus"
"エモーショングラフィー","Emotiongraphy"
"双華刃+1","Paired Blossoms +1"
"幸菱の風剣+1","Breeze of the Fortunate Pattern +1"
"宵雛の桃刀+1","Blade of Blight Festival +1"
"春桜の長弓","Cherry Blossom Longbow"
"春宵の槍","Spring Evening Spear"
"セルペンス G-P-1","Serpens G-P-1"
"ピーちゃん","my darling P."
"妖狐の秘剣","Huli jing Rapier"
"妖狸の宝刀","Tanuki Sword"
"忠義の犬牙","Faithful Dog's Fang"
"月兎の短剣","Moon Rabbit's Dagger"
"マジカル・ノート","Magical Note"
"トリッキー・スピア","Tricky Spear"
"ポッピング・ハンマー","Popping Hammer"
"メロディック・ソード","Melodic Sword"
"ミュージック・ハート","Music of the Heart"
"ツイン・ビート","Twin Beats"
"ヘビィトーン・ライフル","Heavy Tone"
"ハーモニクス・ソード","Harmonic Sword"
"ダーク・リベリオン","Dark Rebellion"
"ネオ・アトランティス","Neo Atlantis"
"エラディケイト・ストーム","Eradicate Storm"
"ヘイラグ・グシスナウタル","Heilug Gusisnautar"
"護身の刃","Self Defense Blade"
"魚鱗刀","Fish Scale Sword"
"ハイドロシューター","Hydro Shooter"
"ウォーターバーストライフル","Water Burst Rifle"
"スプラッシュマシンガン","Splash Machine Gun"
"プロミネンス・ローズ","Prominence Rose"
"カーネーション・エッジ","Carnation Edge"
"ツイン・フレイム・ダリア","Twin Flame Dahlia"
"ハート・オブ・ガーベラ","Heart of Gerbera"
"ブラッドナイトゲイル","Blood Knight Gale"
"断幻の剣","Sleeping Light"
"スリーピング・ライツ","Illusion Terminator"
"ヘカート・ウィング","Hecate Wing"
"カゲミツG2","Kagemitsu G2"
"ヘカートtypeHE ","Hecate TypeHE"
"ムラマサG4","Muramasa G4"
"アルデバランSTM ","Aldebaran STM"
"ウェーブ・アンカー","Wave Anchor"
"ヴィベルブ・トワイライト","Twilight Bivalve"
"シャインフルーツ・メイス","Shine Fruit Mace"
"パッション・サンシャイン","Passion Sunshine"
"金木犀の聖剣","Fragrant Olive Holy Sword"
"青薔薇の氷剣","Blue Rose Ice Sword"
"マリンウィンド・ランス","Marine Wind Lance"
"サマーソーダ・ショット","Summer Soda Shot"
"デュアル・ドルフィン","Dual Dolphins"
"ドルフィンスラスト","Dolphin Thrust"
"ガグンラーズ×2 ","Victor X2"
"ミキル・アスト","Great Love"
"レトール・ヴァルキュリア","Guardian Angel"
"オウル・スコール","Ferocious Wolf"
"アル・アヴェルキ","Ar Averk"
"アンドラウス","And-Lauss"
"バル・スヴェルズ","Bal Sverth"
"無銘の刃","Unnamed Blade"
"ソーディアン・シャルティエ","Chaltier"
"霊剣アーイディオン","Eidolon, the Immortal"
"パラソル","Parasol"
"イノベイター×イビルパニッシャー","Innovator x Evil Punisher"
"グラーリングルミナス","Glaring Light"
"金木犀の宝剣","Fragrant Olive Treasured Sword"
"青薔薇の宝剣","Blue Rose Treasured Sword"
"アフル・エルヴァル","Afr Eruvaru"
"テンペスト・パニッシャー","Tempest Punisher"
"アクエリアス・グレイス","Aquarius Grace"
"黒曜石の鋼魔剣","Obsidian Magic Sword"
"ブラッドナイトランス","Blood Night Lance"
"ギア・ブライド","Gear Bride"
"石巌の斧","Stone Axe"
"鉄甲の斧","Iron Axe"
"太陽の恵み","Touch of the Sun"
"ディストーテッド・ディザイア","Distorted Desire"
"ブラックフェアリー","Black Fairy"
"アークデモンスピア","Ark Demon Spear"
"天幸の太刀","Great Blessing Blade"
"天幸の剣","Great Blessing Saber"
"紅焔の神弓","Red Flame God Bow"
"鴉天狗の紅刀","Crow-billed Goblin Red Blade"
"炎鬼の大鎚","Fiery Pixy Sledgehammer"
"金木犀の太刀","Fragrant Olive Katana"
"青薔薇の太刀","Blue Rose Katana"
"流水剣コノハ","Water Sword: Leaf"
"水鏡槍カエデ","Water Lance: Maple"
"初等練士の黒剣","Black Trainee Sword"
"白金樫の剣","Platinous Oak"
"バレットギフト","Bullet Gift"
"リングオブベル","Bell Sounds"
"傍付き練士の黒剣","Page Trainee's Black Sword"
"傍付き練士の青剣","Page Trainee's Blue Sword"
"セイントリー・フォトンソード","Saintly Photon Sword"
"ストライク・オブ・ルドルフ","Strike of Rudolph"
"シュニーシュトゥルム×2+1","Dual Schneesturm +1"
"アイスツァプフェン+1","Eiszapfen +1"
"心意強化 上級修剣士の黒剣","Enhance Incarnate Elite Disciple Black Sword"
"心意強化 金木犀の剣","Enhance Incarnate Fragrant Olive Sword"
"心意強化 青薔薇の剣","Enhance Incarnate Blue Rose Sword"
"ディサイシブ・スラスト","Decisive Thrust"
"ブラック・ゲイル","Black Gale"
"ブラック・アンリミター","Black Unlimiter"
"天照の煌剣","Amaterasu Sword"
"海神の水禍剣","Sea God Sword"
"月神の暗黒弓","Moon God Bow"
"心意強化 ソード・オブ・ハート","Enhance Incarnate Sword of Heart"
"心意強化 ラスト・プロミス","Enhance Incarnate Last Promise"
"心意強化 フレイム・カーレッジ","Enhance Incarnate Flame Courage"
"青薔薇の烈風剣","Blue Rose Wind Sword"
"黒嵐の砕剣","Black Stormy Sword"
"ブレイド・オブ・アイズ","Blade of Eyes"
"デモンズ・ウィング","Demon's Wings"
"エターナル・プロミス+1","Eternal Promise +1"
"ディープ・カーレッジ+1","Deep Courage +1"
"ソード・オブ・ノーチラス+1","Sword of Nautilus +1"
"エモーショングラフィー+1","Emotiongraphy +1"
"エッジ・オブ・レゾナンス","Edge of Resonance"
"ミンストレル・フルーレ","Minstrel Fleuret"
"美姫の神光弓","Princess Divine Light Bow"
"女雛の流星槍","Shooting Star Lance"
"初雛の光耀剣","Shining Blade"
"天穿剣","Heaven-Piercing Blade"
"時穿剣","Time-Splitting Sword"
